
---------- Begin Simulation Statistics ----------
simSeconds                                   0.023463                       # Number of seconds simulated (Second)
simTicks                                  23463055500                       # Number of ticks simulated (Tick)
finalTick                                 23463055500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    304.20                       # Real time elapsed on the host (Second)
hostTickRate                                 77130866                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     687348                       # Number of bytes of host memory used (Byte)
simInsts                                    100000002                       # Number of instructions simulated (Count)
simOps                                      109473152                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   328733                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     359874                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         46926112                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.469261                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.131010                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       112593026                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   175379                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      111903184                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  10651                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              3295229                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           7233716                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 702                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            46882576                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.386882                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.962363                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  10517803     22.43%     22.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   6980393     14.89%     37.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   8222510     17.54%     54.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   8713594     18.59%     73.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   5718118     12.20%     85.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3224976      6.88%     92.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1713457      3.65%     96.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1274905      2.72%     98.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    516820      1.10%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              46882576                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  332347     18.86%     18.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     18.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     18.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     18.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     18.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     18.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     18.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     18.86% # attempts to use FU when none available (Count)
