
---------- Begin Simulation Statistics ----------
simSeconds                                   0.003947                       # Number of seconds simulated (Second)
simTicks                                   3947465500                       # Number of ticks simulated (Tick)
finalTick                                  3947465500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     45.17                       # Real time elapsed on the host (Second)
hostTickRate                                 87391027                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     688376                       # Number of bytes of host memory used (Byte)
simInsts                                     16292310                       # Number of instructions simulated (Count)
simOps                                       18140964                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   360686                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     401612                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          7894932                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.484580                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.063642                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        19150897                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1893                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       18683312                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1868                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1011825                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           3473923                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  31                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             7803381                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.394259                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.751718                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    696004      8.92%      8.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2237998     28.68%     37.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1890015     24.22%     61.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1038765     13.31%     75.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    988995     12.67%     87.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    391792      5.02%     92.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    375281      4.81%     97.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     93885      1.20%     98.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     90646      1.16%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               7803381                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  185728     86.57%     86.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     86.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     86.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     86.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     86.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     86.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     86.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     86.57% # attempts to use FU when none available (Count)
