
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000612                       # Number of seconds simulated (Second)
simTicks                                    612177500                       # Number of ticks simulated (Tick)
finalTick                                   612177500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      4.87                       # Real time elapsed on the host (Second)
hostTickRate                                125683334                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     649704                       # Number of bytes of host memory used (Byte)
simInsts                                      1358979                       # Number of instructions simulated (Count)
simOps                                        1359039                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   278997                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     279009                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          1224357                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.900939                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.109953                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         1531011                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     3791                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        1454812                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1033                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               175762                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            141283                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 184                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             1156772                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.257648                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.449772                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    432193     37.36%     37.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    378869     32.75%     70.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    137026     11.85%     81.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    104952      9.07%     91.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     59482      5.14%     96.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     26598      2.30%     98.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      9770      0.84%     99.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      5559      0.48%     99.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      2323      0.20%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               1156772                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    1717      5.98%      5.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                    350      1.22%      7.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                     112      0.39%      7.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      7.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      7.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      7.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                   10      0.03%      7.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc              5898     20.55%     28.18% # attempts to use FU when none available (Count)
