
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000645                       # Number of seconds simulated (Second)
simTicks                                    644505000                       # Number of ticks simulated (Tick)
finalTick                                   644505000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      5.38                       # Real time elapsed on the host (Second)
hostTickRate                                119702754                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     649448                       # Number of bytes of host memory used (Byte)
simInsts                                      1358979                       # Number of instructions simulated (Count)
simOps                                        1359039                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   252396                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     252407                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          1289012                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.948515                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.054280                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         1670796                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     3766                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        1530116                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    967                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               315522                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            250077                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 159                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             1218752                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.255478                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.452091                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    463292     38.01%     38.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    387382     31.79%     69.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    147677     12.12%     81.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    108910      8.94%     90.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     64026      5.25%     96.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     29538      2.42%     98.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     10387      0.85%     99.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      5786      0.47%     99.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      1754      0.14%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               1218752                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    1677      5.14%      5.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                    366      1.12%      6.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                      47      0.14%      6.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      6.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      6.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      6.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                  106      0.32%      6.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc              6301     19.30%     26.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     26.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                 5201     15.93%     41.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     41.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     41.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     41.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%     41.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     41.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     41.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     0      0.00%     41.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     41.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     41.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     41.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     41.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     41.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     41.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     41.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     41.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     41.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     41.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     41.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     41.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     41.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult                0      0.00%     41.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%     41.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMatMultAcc            0      0.00%     41.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%     41.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%     41.97% # attempts to use FU when none available (Count)
