
---------- Begin Simulation Statistics ----------
simSeconds                                   0.023286                       # Number of seconds simulated (Second)
simTicks                                  23286021000                       # Number of ticks simulated (Tick)
finalTick                                 23286021000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    250.44                       # Real time elapsed on the host (Second)
hostTickRate                                 92981770                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     685424                       # Number of bytes of host memory used (Byte)
simInsts                                    100000000                       # Number of instructions simulated (Count)
simOps                                      100049549                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   399302                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     399500                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         46572044                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.465720                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.147211                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       102527211                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   199278                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      102062798                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   5820                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2676893                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1435172                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1010                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            46534515                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.193271                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.171383                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  14942937     32.11%     32.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   7785179     16.73%     48.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   5779918     12.42%     61.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   4674520     10.05%     71.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   4941528     10.62%     81.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3734006      8.02%     89.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2937803      6.31%     96.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1277729      2.75%     99.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    460895      0.99%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              46534515                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  219512      7.35%      7.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   5068      0.17%      7.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      7.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      7.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      7.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      7.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      7.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      7.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      7.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      7.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      7.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%      7.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%      7.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%      7.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%      7.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%      7.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     0      0.00%      7.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%      7.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%      7.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%      7.52% # attempts to use FU when none available (Count)
