
---------- Begin Simulation Statistics ----------
simSeconds                                   0.023430                       # Number of seconds simulated (Second)
simTicks                                  23429710500                       # Number of ticks simulated (Tick)
finalTick                                 23429710500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    322.14                       # Real time elapsed on the host (Second)
hostTickRate                                 72731886                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     688368                       # Number of bytes of host memory used (Byte)
simInsts                                    100000003                       # Number of instructions simulated (Count)
simOps                                      109473161                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   310426                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     339833                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         46859422                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.468594                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.134043                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       113092943                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   175360                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      112167212                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   4836                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              3795129                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           8430515                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 686                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            46816090                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.395912                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.968021                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  10470996     22.37%     22.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   6910130     14.76%     37.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   8245598     17.61%     54.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   8726535     18.64%     73.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   5650060     12.07%     85.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3247415      6.94%     92.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1737114      3.71%     96.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1299654      2.78%     98.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    528588      1.13%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              46816090                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  353814     19.83%     19.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     19.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     19.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     19.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     19.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     19.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     19.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     19.83% # attempts to use FU when none available (Count)
