
---------- Begin Simulation Statistics ----------
simSeconds                                   0.025413                       # Number of seconds simulated (Second)
simTicks                                  25413109500                       # Number of ticks simulated (Tick)
finalTick                                 25413109500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    262.24                       # Real time elapsed on the host (Second)
hostTickRate                                 96906236                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     651500                       # Number of bytes of host memory used (Byte)
simInsts                                    100000000                       # Number of instructions simulated (Count)
simOps                                      100049549                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   381324                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     381513                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         50826221                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.508262                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.967488                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       105000800                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   199358                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      104353319                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   9729                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              5150562                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1945067                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1090                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            50789398                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.054628                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.169085                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  18386013     36.20%     36.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   8131926     16.01%     52.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   5864485     11.55%     63.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   4763715      9.38%     73.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   5140180     10.12%     83.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3734140      7.35%     90.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2910406      5.73%     96.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1360842      2.68%     99.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    497691      0.98%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              50789398                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  221641      7.40%      7.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   5086      0.17%      7.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      7.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      7.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      7.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      7.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      7.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      7.57% # attempts to use FU when none available (Count)
