
---------- Begin Simulation Statistics ----------
simSeconds                                   0.023655                       # Number of seconds simulated (Second)
simTicks                                  23654589000                       # Number of ticks simulated (Tick)
finalTick                                 23654589000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    256.71                       # Real time elapsed on the host (Second)
hostTickRate                                 92145711                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     651504                       # Number of bytes of host memory used (Byte)
simInsts                                    100000000                       # Number of instructions simulated (Count)
simOps                                      100049549                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   389547                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     389740                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         47309180                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.473092                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.113755                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       102529562                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   199290                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      102065164                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   5832                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2679256                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1435311                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1022                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            47271901                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.159109                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.171355                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  15678036     33.17%     33.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   7786685     16.47%     49.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   5779631     12.23%     61.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   4674957      9.89%     71.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   4943393     10.46%     82.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3733565      7.90%     90.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2937233      6.21%     96.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1277657      2.70%     99.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    460744      0.97%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              47271901                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  219478      7.35%      7.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   5068      0.17%      7.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      7.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      7.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      7.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      7.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      7.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      7.52% # attempts to use FU when none available (Count)
